Genus	ES_Bact	ES_Bifi	ES_Esch	ES_Prev	ES_Firm
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-841	0	0	0	0.06141009163452639	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-382;UBA1206	0	0	0	0.003007901000242772	1.4738161669368988e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-382;UBA1752	0	0	0	0.0018179430778744678	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-382;UMGS882	0	0	0	9.156882833923809e-4	0.0010406613511350687
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;UBA644;UBA644	0	0	0	0.0011036876908325907	0.0025125114857481585
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;UMGS1783;UMGS1783	0	0	0	0	2.711345583397457e-4
Bacteria;Firmicutes_A;Clostridia;Monoglobales_A;UBA9506;UBA9506	0	0	0	5.551731533142662e-5	2.9961032302092925e-4
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0013009057186110272	0	0	0	0.019100339776441842
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0	0	0	0.001912842881621873	9.604388798919067e-4
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1494	0	0	0	6.985079423611843e-4	1.7719809542109127e-4
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-273	0	0	0	0.003504062892501601	0.030589150350660045
Bacteria;Firmicutes_A;Clostridia;UBA1212;UBA1255;UMGS1537	0	0	0	0	0.006723071382565972
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	0.24788269443869823	0.16250208353946366	0	0.015764420606282598	1.6868750147328626
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA5416	5.911571493618074e-7	0	0	0	0.00562225351800444
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter	0.011439317127520702	0.004668620444145555	0	0.007839591314022386	0.746360293481582
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1472	0.001452618582282381	0	0	0	0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_A	2.878200651796717e-5	0	0	0.002588025287470307	0.0706365456959475
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	2.827611816633909e-4	0	0	8.638462350666373e-4	0.08554621804167982
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Robinsoniella	0	2.413765125645869e-4	0	0	0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas	4.8053515174875764e-5	0	0	0	0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA7182	5.984323659693402e-5	0	0	0.0038265794595829	0.0220651960528712
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter	0.04803815969331424	0.034484970557592844	0	0.03453653092159839	0.455499687294698
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella	9.784411255294627e-4	0	0	2.500419268382842e-4	0.005291313398761046
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Muricomes	1.6296813482359548e-7	0.002806547950807191	0	0	0.001260216124032318
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea	0.0025873900635681795	0.0106995748683424	0	0.07870212069381337	0.4974588912559581
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas	0.0039335806307413445	0.022289935648450023	0	3.177510493780229e-6	0.0019357864067700977
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas	0.020560031306699422	0.07240776885308339	4.114203814140713e-6	4.5504267384834197e-7	0.017606736147275166
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus	4.5681017823105897e-4	2.989836907372485e-4	0	0.019231128177410052	0.1416395701571416
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter	0.14351380568425615	4.2470611883404676e-8	0	0.2999893164869423	3.3526508442030734
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.2709071445843418	6.134604179701929e-5	0	0.043660517730193686	0.6997847242070527
